scenario,scenario_name,success,collision,reason_for_failure,gif_path,task_time_s,avg_speed_mps,min_clearance_m,t_c_s,t95_s,Omega_bar,C_Omega,URR
recorded/hand-crafted/BRA_VilaVelha-92_1_T-10.xml,BRA_VilaVelha-92_1_T-10,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/BRA_VilaVelha-92_1_T-10.gif,3.1,12.187886404734163,3.4913380321645615,0.6512292892702164,1.061652660369873,2.5483870967741935,0.7741935483870968,0.0
recorded/hand-crafted/vv_samples/vv_001.xml,vv_001,False,True,Collision detected.,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_001.gif,2.7,11.146463622028778,2.90587488016533,0.8218561013539633,1.3684344291687012,2.5555555555555554,0.8148148148148148,0.0
recorded/hand-crafted/vv_samples/vv_002.xml,vv_002,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_002.gif,3.0,12.289042236739961,3.3704953007586185,0.6443946917851766,0.8986685156822204,2.2666666666666666,0.7333333333333333,0.0
recorded/hand-crafted/vv_samples/vv_003.xml,vv_003,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_003.gif,3.1,11.946772465510453,3.5468783283425127,0.7246470912810294,0.9798300266265869,2.4193548387096775,0.6774193548387096,0.0
recorded/hand-crafted/vv_samples/vv_004.xml,vv_004,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_004.gif,3.1,11.66954310553796,3.323671551967023,0.7762209369290259,1.2097817659378052,2.3548387096774195,0.6451612903225806,0.0
recorded/hand-crafted/vv_samples/vv_005.xml,vv_005,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_005.gif,3.1,11.84542666956656,3.32844664331943,0.7923121452331543,1.1653400659561157,2.3548387096774195,0.6774193548387096,0.0
recorded/hand-crafted/vv_samples/vv_006.xml,vv_006,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_006.gif,3.0,12.383505396958984,3.7643571639769418,0.7599793831507365,1.117876863479614,2.4,0.7333333333333333,0.0
recorded/hand-crafted/vv_samples/vv_007.xml,vv_007,False,True,Collision detected.,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_007.gif,3.0,10.826902050708584,3.250949150024979,0.6931526978810628,1.0342488527297973,2.4,0.6666666666666666,0.0
recorded/hand-crafted/vv_samples/vv_008.xml,vv_008,False,True,Collision detected.,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_008.gif,2.5,10.768597271004143,3.8781017494863694,0.8176198863983154,1.3899113178253168,2.56,0.8,0.0
recorded/hand-crafted/vv_samples/vv_009.xml,vv_009,True,False,,/home/yanjun/NewDisk/beliefplanning/planner/Frenet/results/method_compare_20_v2/MLE/gifs/vv_009.gif,3.1,12.135380666422186,3.5560991295229556,0.7287089517039638,1.0491275787353516,2.3225806451612905,0.7096774193548387,0.0
